setting,split,y_true,y_pred,count
raw_core_features,train,C1,C1,205
raw_core_features,train,C1,C2,232
raw_core_features,train,C1,C3,99
raw_core_features,train,C1,C4,85
raw_core_features,train,C1,C5,303
raw_core_features,train,C1,C6,152
raw_core_features,train,C2,C1,99
raw_core_features,train,C2,C2,569
raw_core_features,train,C2,C3,129
raw_core_features,train,C2,C4,77
raw_core_features,train,C2,C5,84
raw_core_features,train,C2,C6,118
raw_core_features,train,C3,C1,92
raw_core_features,train,C3,C2,524
raw_core_features,train,C3,C3,148
raw_core_features,train,C3,C4,58
raw_core_features,train,C3,C5,154
raw_core_features,train,C3,C6,76
raw_core_features,train,C4,C1,141
raw_core_features,train,C4,C2,402
raw_core_features,train,C4,C3,128
raw_core_features,train,C4,C4,83
raw_core_features,train,C4,C5,210
raw_core_features,train,C4,C6,104
raw_core_features,train,C5,C1,205
raw_core_features,train,C5,C2,201
raw_core_features,train,C5,C3,90
raw_core_features,train,C5,C4,106
raw_core_features,train,C5,C5,301
raw_core_features,train,C5,C6,167
raw_core_features,train,C6,C1,185
raw_core_features,train,C6,C2,299
raw_core_features,train,C6,C3,85
raw_core_features,train,C6,C4,78
raw_core_features,train,C6,C5,236
raw_core_features,train,C6,C6,187
raw_core_features,val,C1,C1,49
raw_core_features,val,C1,C2,42
raw_core_features,val,C1,C3,38
raw_core_features,val,C1,C4,24
raw_core_features,val,C1,C5,59
raw_core_features,val,C1,C6,28
raw_core_features,val,C2,C1,12
raw_core_features,val,C2,C2,158
raw_core_features,val,C2,C3,24
raw_core_features,val,C2,C4,14
raw_core_features,val,C2,C5,15
raw_core_features,val,C2,C6,17
raw_core_features,val,C3,C1,26
raw_core_features,val,C3,C2,118
raw_core_features,val,C3,C3,27
raw_core_features,val,C3,C4,15
raw_core_features,val,C3,C5,20
raw_core_features,val,C3,C6,33
raw_core_features,val,C4,C1,25
raw_core_features,val,C4,C2,122
raw_core_features,val,C4,C3,22
raw_core_features,val,C4,C4,13
raw_core_features,val,C4,C5,28
raw_core_features,val,C4,C6,27
raw_core_features,val,C5,C1,53
raw_core_features,val,C5,C2,47
raw_core_features,val,C5,C3,40
raw_core_features,val,C5,C4,32
raw_core_features,val,C5,C5,45
raw_core_features,val,C5,C6,24
raw_core_features,val,C6,C1,45
raw_core_features,val,C6,C2,57
raw_core_features,val,C6,C3,35
raw_core_features,val,C6,C4,18
raw_core_features,val,C6,C5,38
raw_core_features,val,C6,C6,46
raw_core_features,test,C1,C1,58
raw_core_features,test,C1,C2,51
raw_core_features,test,C1,C3,41
raw_core_features,test,C1,C4,17
raw_core_features,test,C1,C5,40
raw_core_features,test,C1,C6,30
raw_core_features,test,C2,C1,13
raw_core_features,test,C2,C2,175
raw_core_features,test,C2,C3,29
raw_core_features,test,C2,C4,7
raw_core_features,test,C2,C5,1
raw_core_features,test,C2,C6,14
raw_core_features,test,C3,C1,39
raw_core_features,test,C3,C2,112
raw_core_features,test,C3,C3,30
raw_core_features,test,C3,C4,21
raw_core_features,test,C3,C5,6
raw_core_features,test,C3,C6,30
raw_core_features,test,C4,C1,40
raw_core_features,test,C4,C2,102
raw_core_features,test,C4,C3,31
raw_core_features,test,C4,C4,26
raw_core_features,test,C4,C5,13
raw_core_features,test,C4,C6,23
raw_core_features,test,C5,C1,36
raw_core_features,test,C5,C2,62
raw_core_features,test,C5,C3,30
raw_core_features,test,C5,C4,26
raw_core_features,test,C5,C5,57
raw_core_features,test,C5,C6,27
raw_core_features,test,C6,C1,38
raw_core_features,test,C6,C2,94
raw_core_features,test,C6,C3,45
raw_core_features,test,C6,C4,18
raw_core_features,test,C6,C5,24
raw_core_features,test,C6,C6,21
posture_train_zscore_core_features,train,C1,C1,227
posture_train_zscore_core_features,train,C1,C2,239
posture_train_zscore_core_features,train,C1,C3,80
posture_train_zscore_core_features,train,C1,C4,93
posture_train_zscore_core_features,train,C1,C5,294
posture_train_zscore_core_features,train,C1,C6,143
posture_train_zscore_core_features,train,C2,C1,84
posture_train_zscore_core_features,train,C2,C2,583
posture_train_zscore_core_features,train,C2,C3,106
posture_train_zscore_core_features,train,C2,C4,91
posture_train_zscore_core_features,train,C2,C5,102
posture_train_zscore_core_features,train,C2,C6,110
posture_train_zscore_core_features,train,C3,C1,86
posture_train_zscore_core_features,train,C3,C2,545
posture_train_zscore_core_features,train,C3,C3,119
posture_train_zscore_core_features,train,C3,C4,62
posture_train_zscore_core_features,train,C3,C5,161
posture_train_zscore_core_features,train,C3,C6,79
posture_train_zscore_core_features,train,C4,C1,144
posture_train_zscore_core_features,train,C4,C2,404
posture_train_zscore_core_features,train,C4,C3,118
posture_train_zscore_core_features,train,C4,C4,101
posture_train_zscore_core_features,train,C4,C5,203
posture_train_zscore_core_features,train,C4,C6,98
posture_train_zscore_core_features,train,C5,C1,199
posture_train_zscore_core_features,train,C5,C2,209
posture_train_zscore_core_features,train,C5,C3,72
posture_train_zscore_core_features,train,C5,C4,109
posture_train_zscore_core_features,train,C5,C5,308
posture_train_zscore_core_features,train,C5,C6,173
posture_train_zscore_core_features,train,C6,C1,182
posture_train_zscore_core_features,train,C6,C2,305
posture_train_zscore_core_features,train,C6,C3,62
posture_train_zscore_core_features,train,C6,C4,91
posture_train_zscore_core_features,train,C6,C5,259
posture_train_zscore_core_features,train,C6,C6,171
posture_train_zscore_core_features,val,C1,C1,57
posture_train_zscore_core_features,val,C1,C2,46
posture_train_zscore_core_features,val,C1,C3,31
posture_train_zscore_core_features,val,C1,C4,19
posture_train_zscore_core_features,val,C1,C5,57
posture_train_zscore_core_features,val,C1,C6,30
posture_train_zscore_core_features,val,C2,C1,17
posture_train_zscore_core_features,val,C2,C2,163
posture_train_zscore_core_features,val,C2,C3,18
posture_train_zscore_core_features,val,C2,C4,11
posture_train_zscore_core_features,val,C2,C5,12
posture_train_zscore_core_features,val,C2,C6,19
posture_train_zscore_core_features,val,C3,C1,37
posture_train_zscore_core_features,val,C3,C2,122
posture_train_zscore_core_features,val,C3,C3,21
posture_train_zscore_core_features,val,C3,C4,13
posture_train_zscore_core_features,val,C3,C5,13
posture_train_zscore_core_features,val,C3,C6,33
posture_train_zscore_core_features,val,C4,C1,27
posture_train_zscore_core_features,val,C4,C2,128
posture_train_zscore_core_features,val,C4,C3,14
posture_train_zscore_core_features,val,C4,C4,14
posture_train_zscore_core_features,val,C4,C5,26
posture_train_zscore_core_features,val,C4,C6,28
posture_train_zscore_core_features,val,C5,C1,57
posture_train_zscore_core_features,val,C5,C2,48
posture_train_zscore_core_features,val,C5,C3,31
posture_train_zscore_core_features,val,C5,C4,35
posture_train_zscore_core_features,val,C5,C5,44
posture_train_zscore_core_features,val,C5,C6,26
posture_train_zscore_core_features,val,C6,C1,52
posture_train_zscore_core_features,val,C6,C2,62
posture_train_zscore_core_features,val,C6,C3,25
posture_train_zscore_core_features,val,C6,C4,20
posture_train_zscore_core_features,val,C6,C5,32
posture_train_zscore_core_features,val,C6,C6,48
posture_train_zscore_core_features,test,C1,C1,65
posture_train_zscore_core_features,test,C1,C2,58
posture_train_zscore_core_features,test,C1,C3,27
posture_train_zscore_core_features,test,C1,C4,22
posture_train_zscore_core_features,test,C1,C5,38
posture_train_zscore_core_features,test,C1,C6,27
posture_train_zscore_core_features,test,C2,C1,16
posture_train_zscore_core_features,test,C2,C2,183
posture_train_zscore_core_features,test,C2,C3,19
posture_train_zscore_core_features,test,C2,C4,8
posture_train_zscore_core_features,test,C2,C5,1
posture_train_zscore_core_features,test,C2,C6,12
posture_train_zscore_core_features,test,C3,C1,44
posture_train_zscore_core_features,test,C3,C2,118
posture_train_zscore_core_features,test,C3,C3,23
posture_train_zscore_core_features,test,C3,C4,21
posture_train_zscore_core_features,test,C3,C5,6
posture_train_zscore_core_features,test,C3,C6,26
posture_train_zscore_core_features,test,C4,C1,48
posture_train_zscore_core_features,test,C4,C2,97
posture_train_zscore_core_features,test,C4,C3,30
posture_train_zscore_core_features,test,C4,C4,28
posture_train_zscore_core_features,test,C4,C5,11
posture_train_zscore_core_features,test,C4,C6,21
posture_train_zscore_core_features,test,C5,C1,43
posture_train_zscore_core_features,test,C5,C2,56
posture_train_zscore_core_features,test,C5,C3,32
posture_train_zscore_core_features,test,C5,C4,28
posture_train_zscore_core_features,test,C5,C5,54
posture_train_zscore_core_features,test,C5,C6,25
posture_train_zscore_core_features,test,C6,C1,45
posture_train_zscore_core_features,test,C6,C2,98
posture_train_zscore_core_features,test,C6,C3,39
posture_train_zscore_core_features,test,C6,C4,19
posture_train_zscore_core_features,test,C6,C5,17
posture_train_zscore_core_features,test,C6,C6,22
posture_train_robust_core_features,train,C1,C1,215
posture_train_robust_core_features,train,C1,C2,240
posture_train_robust_core_features,train,C1,C3,83
posture_train_robust_core_features,train,C1,C4,89
posture_train_robust_core_features,train,C1,C5,308
posture_train_robust_core_features,train,C1,C6,141
posture_train_robust_core_features,train,C2,C1,83
posture_train_robust_core_features,train,C2,C2,583
posture_train_robust_core_features,train,C2,C3,108
posture_train_robust_core_features,train,C2,C4,87
posture_train_robust_core_features,train,C2,C5,105
posture_train_robust_core_features,train,C2,C6,110
posture_train_robust_core_features,train,C3,C1,82
posture_train_robust_core_features,train,C3,C2,544
posture_train_robust_core_features,train,C3,C3,123
posture_train_robust_core_features,train,C3,C4,61
posture_train_robust_core_features,train,C3,C5,164
posture_train_robust_core_features,train,C3,C6,78
posture_train_robust_core_features,train,C4,C1,133
posture_train_robust_core_features,train,C4,C2,400
posture_train_robust_core_features,train,C4,C3,124
posture_train_robust_core_features,train,C4,C4,98
posture_train_robust_core_features,train,C4,C5,217
posture_train_robust_core_features,train,C4,C6,96
posture_train_robust_core_features,train,C5,C1,202
posture_train_robust_core_features,train,C5,C2,209
posture_train_robust_core_features,train,C5,C3,74
posture_train_robust_core_features,train,C5,C4,107
posture_train_robust_core_features,train,C5,C5,306
posture_train_robust_core_features,train,C5,C6,172
posture_train_robust_core_features,train,C6,C1,167
posture_train_robust_core_features,train,C6,C2,303
posture_train_robust_core_features,train,C6,C3,66
posture_train_robust_core_features,train,C6,C4,90
posture_train_robust_core_features,train,C6,C5,268
posture_train_robust_core_features,train,C6,C6,176
posture_train_robust_core_features,val,C1,C1,55
posture_train_robust_core_features,val,C1,C2,46
posture_train_robust_core_features,val,C1,C3,31
posture_train_robust_core_features,val,C1,C4,21
posture_train_robust_core_features,val,C1,C5,60
posture_train_robust_core_features,val,C1,C6,27
posture_train_robust_core_features,val,C2,C1,15
posture_train_robust_core_features,val,C2,C2,162
posture_train_robust_core_features,val,C2,C3,19
posture_train_robust_core_features,val,C2,C4,10
posture_train_robust_core_features,val,C2,C5,14
posture_train_robust_core_features,val,C2,C6,20
posture_train_robust_core_features,val,C3,C1,33
posture_train_robust_core_features,val,C3,C2,122
posture_train_robust_core_features,val,C3,C3,21
posture_train_robust_core_features,val,C3,C4,14
posture_train_robust_core_features,val,C3,C5,15
posture_train_robust_core_features,val,C3,C6,34
posture_train_robust_core_features,val,C4,C1,29
posture_train_robust_core_features,val,C4,C2,127
posture_train_robust_core_features,val,C4,C3,15
posture_train_robust_core_features,val,C4,C4,14
posture_train_robust_core_features,val,C4,C5,26
posture_train_robust_core_features,val,C4,C6,26
posture_train_robust_core_features,val,C5,C1,56
posture_train_robust_core_features,val,C5,C2,49
posture_train_robust_core_features,val,C5,C3,31
posture_train_robust_core_features,val,C5,C4,34
posture_train_robust_core_features,val,C5,C5,47
posture_train_robust_core_features,val,C5,C6,24
posture_train_robust_core_features,val,C6,C1,49
posture_train_robust_core_features,val,C6,C2,64
posture_train_robust_core_features,val,C6,C3,23
posture_train_robust_core_features,val,C6,C4,20
posture_train_robust_core_features,val,C6,C5,34
posture_train_robust_core_features,val,C6,C6,49
posture_train_robust_core_features,test,C1,C1,64
posture_train_robust_core_features,test,C1,C2,54
posture_train_robust_core_features,test,C1,C3,29
posture_train_robust_core_features,test,C1,C4,24
posture_train_robust_core_features,test,C1,C5,41
posture_train_robust_core_features,test,C1,C6,25
posture_train_robust_core_features,test,C2,C1,18
posture_train_robust_core_features,test,C2,C2,180
posture_train_robust_core_features,test,C2,C3,21
posture_train_robust_core_features,test,C2,C4,9
posture_train_robust_core_features,test,C2,C5,0
posture_train_robust_core_features,test,C2,C6,11
posture_train_robust_core_features,test,C3,C1,43
posture_train_robust_core_features,test,C3,C2,118
posture_train_robust_core_features,test,C3,C3,23
posture_train_robust_core_features,test,C3,C4,21
posture_train_robust_core_features,test,C3,C5,7
posture_train_robust_core_features,test,C3,C6,26
posture_train_robust_core_features,test,C4,C1,46
posture_train_robust_core_features,test,C4,C2,98
posture_train_robust_core_features,test,C4,C3,29
posture_train_robust_core_features,test,C4,C4,29
posture_train_robust_core_features,test,C4,C5,12
posture_train_robust_core_features,test,C4,C6,21
posture_train_robust_core_features,test,C5,C1,39
posture_train_robust_core_features,test,C5,C2,57
posture_train_robust_core_features,test,C5,C3,31
posture_train_robust_core_features,test,C5,C4,28
posture_train_robust_core_features,test,C5,C5,58
posture_train_robust_core_features,test,C5,C6,25
posture_train_robust_core_features,test,C6,C1,44
posture_train_robust_core_features,test,C6,C2,97
posture_train_robust_core_features,test,C6,C3,41
posture_train_robust_core_features,test,C6,C4,18
posture_train_robust_core_features,test,C6,C5,18
posture_train_robust_core_features,test,C6,C6,22
